record_type,n_trees,seed,spearman,top_rank_agreement,seed_count,mean,median,min,max,sd,q05,q25,q75,q95,production_self_stability,sklearn_self_stability,note
SUMMARY,400,-,-,16/30,30,0.995628,0.995500,0.994230,0.997408,0.000714,0.994578,0.995217,0.995958,0.996823,0.995392,0.995869,DESCRIPTIVE cross-implementation comparison. NOT a fidelity requirement and NOT a production threshold. The within-implementation stability columns are each implementation against ITSELF under different seeds: that is the Monte Carlo variation the cross-implementation figure necessarily contains.
PER_SEED,1000,20250815,0.997484,NO,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,1000,20251815,0.997578,YES,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,1000,20252815,0.997124,YES,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,1000,20253815,0.997984,NO,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,1000,20254815,0.997698,YES,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,1000,20255815,0.998414,YES,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,1000,20256815,0.997336,NO,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,1000,20257815,0.997827,NO,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,1000,20258815,0.998452,YES,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,1000,20259815,0.996843,YES,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,1000,20260815,0.998166,YES,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,1000,20261815,0.998503,YES,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,1000,20262815,0.997715,YES,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,1000,20263815,0.998111,YES,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,1000,20264815,0.997287,YES,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,1000,20265815,0.997578,YES,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,1000,20266815,0.998432,YES,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,1000,20267815,0.998283,YES,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,1000,20268815,0.997865,YES,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,1000,20269815,0.997904,NO,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,1000,20270815,0.998099,YES,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,1000,20271815,0.998232,YES,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,1000,20272815,0.996925,YES,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,1000,20273815,0.997128,YES,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,1000,20274815,0.998384,YES,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,1000,20275815,0.998221,YES,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,1000,20276815,0.998185,YES,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,1000,20277815,0.997221,YES,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,1000,20278815,0.998032,YES,-,-,-,-,-,-,-,-,-,-,-,-,
PER_SEED,1000,20279815,0.997621,YES,-,-,-,-,-,-,-,-,-,-,-,-,
SUMMARY,1000,-,-,25/30,30,0.997821,0.997884,0.996843,0.998503,0.000478,0.997015,0.997507,0.998212,0.998443,0.997836,0.997949,DESCRIPTIVE cross-implementation comparison. NOT a fidelity requirement and NOT a production threshold. The within-implementation stability columns are each implementation against ITSELF under different seeds: that is the Monte Carlo variation the cross-implementation figure necessarily contains.
PRESERVED_RUN33_SINGLE_SEED,100,20250815,0.987531,-,1,-,-,-,-,-,-,-,-,-,-,-,"The original Run-33 single-seed observation, PRESERVED and RECLASSIFIED as a CROSS_IMPLEMENTATION_STOCHASTIC_COMPARISON rather than a CANONICAL_FIDELITY_FAILURE, which the fixed-forest score equivalence licenses. It is not deleted and not overwritten."
PRESERVED_RUN33_SINGLE_SEED,400,20250815,0.995540,-,1,-,-,-,-,-,-,-,-,-,-,-,Preserved Run-33 observation.
PRESERVED_RUN33_SINGLE_SEED,1000,20250815,0.997484,-,1,-,-,-,-,-,-,-,-,-,-,-,Preserved Run-33 observation.
INTERPRETATION,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Increasing the tree count reduced Monte Carlo ranking variation on this frozen fixture. NO STATEMENT IS MADE that 400 or 1,000 is therefore the correct operational setting: production remains at the published default of 100 and tree-count calibration is Run-34 work. Raising the tree count to cross a test threshold would be tuning production to a fixture."
