state,observation,value
C-computed,bright_list,"[""circle:#12703a:0.85"", ""circle:#12703a:0.85"", ""circle:#12703a:0.85"", ""polygon:#9a4700:0.85"", ""polygon:#9a4700:0.85"", ""circle:#12703a:0.85"", ""circle:#12703a:0.85"", ""circle:#12703a:0.85"", ""polygon:#6f5200:0.85"", ""circle:#12703a:0.85"", ""circle:#12703a:0.85"", ""rect:#b81420:0.85"", ""circle:#12703a:0.85"", ""rect:#b81420:0.85"", ""polygon:#9a4700:0.85"", ""polygon:#6f5200:0.85"", ""circle:#12703a:0.85"", ""circle:#12703a:0.85"", ""circle:#12703a:0.85"", ""polygon:#6f5200:0.85"", ""circle:#12703a:0.85"", ""circle:#12703a:0.85"", ""circle:#12703a:0.85"", ""circle:#12703a:0.85"", ""circle:#12703a:0.85"", ""circle:#12703a:0.85"", ""circle:#12703a:0.85"", ""circle:#12703a:0.85"", ""circle:#12703a:0.85"", ""circle:#12703a:0.85"", ""circle:#12703a:0.85"", ""circle:#12703a:0.85"", ""circle:#12703a:0.85"", ""circle:#12703a:0.85"", ""polygon:#6f5200:0.85"", ""polygon:#9a4700:0.85"", ""circle:#12703a:0.85"", ""polygon:#9a4700:0.85"", ""rect:#b81420:0.85"", ""polygon:#9a4700:0.85""]"
C-computed,empty_panel_text,None
C-computed,reveal_control,null
C-computed,summary,"This diagram shows the platform’s registered architecture: 27 supported document types, 96 registered project modules and 11 registered categories. It is what the platform can do, not what this project has done. This project currently has 24 uploaded documents across 6 types, 41 modules with a current result, 46 with no current result, 0 not applicable to this project and 9 disabled, and 10 estimable categories."
C-computed,legend,"Green Yellow Amber Red No data Not relevant Registered, not active on this project Uploaded Not uploaded Input (doc→model) ▸Rollup (model→category→status) ▸Derived (category→category) ▸Governance feedback Configured relationship, not carrying current data"
C-computed,docrow:Pay Application (G702),"{""active"": ""true"", ""fill"": ""#a0bcd8"", ""filter"": ""url(#lnf-glow-DocOn)"", ""label"": ""Pay Application (G702)"", ""op"": 0.88, ""state"": ""uploaded"", ""tag"": ""circle""}"
C-computed,docrow:Monthly Progress Report,"{""active"": ""true"", ""fill"": ""#a0bcd8"", ""filter"": ""url(#lnf-glow-DocOn)"", ""label"": ""Monthly Progress Report"", ""op"": 0.88, ""state"": ""uploaded"", ""tag"": ""circle""}"
C-computed,docrow:Submittal Register,"{""active"": ""true"", ""fill"": ""#a0bcd8"", ""filter"": ""url(#lnf-glow-DocOn)"", ""label"": ""Submittal Register"", ""op"": 0.88, ""state"": ""uploaded"", ""tag"": ""circle""}"
C-computed,docrow:Look-Ahead Schedule (6-week),"{""active"": ""true"", ""fill"": ""#a0bcd8"", ""filter"": ""url(#lnf-glow-DocOn)"", ""label"": ""Look-Ahead Schedule (6-week)"", ""op"": 0.88, ""state"": ""uploaded"", ""tag"": ""circle""}"
C-computed,docrow:Cost Report,"{""active"": ""true"", ""fill"": ""#a0bcd8"", ""filter"": ""url(#lnf-glow-DocOn)"", ""label"": ""Cost Report"", ""op"": 0.88, ""state"": ""uploaded"", ""tag"": ""circle""}"
C-computed,docrow:Past Performance Report,"{""active"": ""false"", ""fill"": ""#5b3dd6"", ""filter"": """", ""label"": ""Past Performance Report"", ""op"": 0.34, ""state"": ""registered-not-active"", ""tag"": ""rect""}"
C-computed,docrow:Historical Project Data,"{""active"": ""false"", ""fill"": ""#5b3dd6"", ""filter"": """", ""label"": ""Historical Project Data"", ""op"": 0.34, ""state"": ""registered-not-active"", ""tag"": ""rect""}"
C-computed,docrow:Test & Commissioning Report,"{""active"": ""false"", ""fill"": ""#5b3dd6"", ""filter"": """", ""label"": ""Test & Commissioning Report"", ""op"": 0.34, ""state"": ""registered-not-active"", ""tag"": ""rect""}"
C-computed,docrow:RFI Log (register),"{""active"": ""true"", ""fill"": ""#a0bcd8"", ""filter"": ""url(#lnf-glow-DocOn)"", ""label"": ""RFI Log (register)"", ""op"": 0.88, ""state"": ""uploaded"", ""tag"": ""circle""}"
C-computed,pager,"{""count"": 0, ""hits"": [], ""navButtons"": 10, ""navPresent"": true, ""navSelected"": [""1""]}"
registry,badges_on_detail_page,"[""11 registered"", ""96 registered"", ""96 registered""]"
