label,element_class,element_type,element_name,shape,rendered_fill_or_stroke,rendered_stroke,rendered_opacity,filter,state_or_class,allowed_on_empty_project,verdict
after,node,module,Fermatean Fuzzy Sets,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,MARCOS Ranking,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,CRITIC-TOPSIS,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,Hypersoft Sets,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,ABM Governance Layer,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,FAR Threshold Monitor,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,OMB A-11 Check,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,EVM Reporting Threshold,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,Contract Modification Fre…,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,Multi-Objective Optimizat…,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,Linear Programming,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,Constraint Satisfaction A…,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,What-If Scenario Matrix,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,Decision Sensitivity Matr…,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,Pareto Frontier Analysis,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,Regret Minimization Index,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,Missing Data Index,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,Data Timeliness Score,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,Source Reliability Weight…,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,Audit Trail Completeness,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,Information Completeness …,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,Cross-document Consistenc…,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,module,Reporting Frequency Index,circle,#9aa2ae,none,0.2,,,yes,PASS
after,node,category,A · Cost and EVM Performance,circle,#9aa2ae,none,0.28,,,yes,PASS
after,node,category,A · Schedule Performance,circle,#9aa2ae,none,0.28,,,yes,PASS
after,node,category,A · Cost Risk,circle,#9aa2ae,none,0.28,,,yes,PASS
after,node,category,A · Document-Derived Condition Signals,circle,#9aa2ae,none,0.28,,,yes,PASS
after,node,category,A · System Dynamics and Complexity,circle,#9aa2ae,none,0.28,,,yes,PASS
after,node,category,A · Delivery Quality Performance,circle,#9aa2ae,none,0.28,,,yes,PASS
after,node,category,B · Signal Synthesis,circle,#9aa2ae,none,0.28,,,yes,PASS
after,node,category,B · Evidence Combination,circle,#9aa2ae,none,0.28,,,yes,PASS
after,node,category,B · Regulatory and Authority Thresholds,circle,#9aa2ae,none,0.28,,,yes,PASS
after,node,category,B · Decision Optimization,circle,#9aa2ae,none,0.28,,,yes,PASS
after,node,category,C · Data Integrity,circle,#9aa2ae,none,0.28,,,yes,PASS
after,node,project,Project,circle,#9aa2ae,none,0.26,,,yes,PASS
after,node,document,Contract Value / Original Agreement,circle,#1e2a3c,none,0.3,,not-uploaded,yes,PASS
after,node,document,Schedule of Values (G703),circle,#1e2a3c,none,0.3,,not-uploaded,yes,PASS
after,node,document,Pay Application (G702),circle,#1e2a3c,none,0.3,,not-uploaded,yes,PASS
