edge_type,upstream,downstream,in_authoritative_inventory
MODULE -> CATEGORY,Environmental Compliance Rate,Delivery Quality Performance,yes
MODULE -> CATEGORY,FAR Threshold Monitor,Regulatory and Authority Thresholds,yes
MODULE -> CATEGORY,Fermatean Fuzzy Sets,Evidence Combination,yes
MODULE -> CATEGORY,Float Consumption Rate,Schedule Performance,yes
MODULE -> CATEGORY,Hesitant Fuzzy Sets,Evidence Combination,yes
MODULE -> CATEGORY,Hypersoft Sets,Evidence Combination,yes
MODULE -> CATEGORY,ICE Ratio,Cost and EVM Performance,yes
MODULE -> CATEGORY,Inflation Adjustment Index,Cost Risk,yes
MODULE -> CATEGORY,Information Completeness Ratio,Data Integrity,yes
MODULE -> CATEGORY,Interval Fuzzy Sets,Evidence Combination,yes
MODULE -> CATEGORY,Kalman Filter SPI Smoother,Cost and EVM Performance,yes
MODULE -> CATEGORY,Labor Productivity Index,Cost Risk,yes
MODULE -> CATEGORY,Line of Balance,Schedule Performance,yes
MODULE -> CATEGORY,Linear Programming,Decision Optimization,yes
MODULE -> CATEGORY,Look-Ahead Schedule Health,Schedule Performance,yes
MODULE -> CATEGORY,MARCOS Ranking,Evidence Combination,yes
MODULE -> CATEGORY,Majority Rules,Signal Synthesis,yes
MODULE -> CATEGORY,Material Cost Variance,Cost Risk,yes
MODULE -> CATEGORY,Maximum Entropy,Evidence Combination,yes
MODULE -> CATEGORY,Milestone Trend Analysis,Schedule Performance,yes
MODULE -> CATEGORY,Missing Data Index,Data Integrity,yes
MODULE -> CATEGORY,Monte Carlo EAC Forecast,Cost and EVM Performance,yes
MODULE -> CATEGORY,Multi-Objective Optimization,Decision Optimization,yes
MODULE -> CATEGORY,NCR Rate,Document-Derived Condition Signals,yes
MODULE -> CATEGORY,Neutrosophic Logic,Evidence Combination,yes
MODULE -> CATEGORY,OMB A-11 Check,Regulatory and Authority Thresholds,yes
MODULE -> CATEGORY,Overhead Absorption Rate,Cost Risk,yes
MODULE -> CATEGORY,PERT Network Criticality,Schedule Performance,yes
MODULE -> CATEGORY,PLTS,Evidence Combination,yes
MODULE -> CATEGORY,Parametric Cost Index,Cost Risk,yes
MODULE -> CATEGORY,Pareto Frontier Analysis,Decision Optimization,yes
MODULE -> CATEGORY,Picture Fuzzy Sets,Evidence Combination,yes
MODULE -> CATEGORY,Plithogenic Sets,Evidence Combination,yes
MODULE -> CATEGORY,Possibility Theory,Evidence Combination,yes
MODULE -> CATEGORY,Procurement Lead Time Monitor,Document-Derived Condition Signals,yes
MODULE -> CATEGORY,Pythagorean Fuzzy Sets,Evidence Combination,yes
MODULE -> CATEGORY,Quality Compliance Index,Delivery Quality Performance,yes
MODULE -> CATEGORY,Quantum Probability,Evidence Combination,yes
MODULE -> CATEGORY,Queueing Theory Bottleneck,System Dynamics and Complexity,yes
MODULE -> CATEGORY,RFI Velocity,Document-Derived Condition Signals,yes
MODULE -> CATEGORY,Reference Class Forecasting,Cost Risk,yes
MODULE -> CATEGORY,Regression to Mean CPI,Cost and EVM Performance,yes
MODULE -> CATEGORY,Regret Minimization Index,Decision Optimization,yes
MODULE -> CATEGORY,Reporting Frequency Index,Data Integrity,yes
MODULE -> CATEGORY,Resource Loading Index,Schedule Performance,yes
MODULE -> CATEGORY,Rework Feedback Loop,System Dynamics and Complexity,yes
MODULE -> CATEGORY,Rough Sets,Evidence Combination,yes
MODULE -> CATEGORY,S-Curve Deviation,Schedule Performance,yes
MODULE -> CATEGORY,Safety Performance Index,Delivery Quality Performance,yes
MODULE -> CATEGORY,Scenario Modeling,System Dynamics and Complexity,yes
MODULE -> CATEGORY,Schedule Compression Index,Schedule Performance,yes
MODULE -> CATEGORY,Schedule Risk Analysis P80,Schedule Performance,yes
MODULE -> CATEGORY,Sensitivity Analysis,System Dynamics and Complexity,yes
MODULE -> CATEGORY,Source Reliability Weighting,Data Integrity,yes
MODULE -> CATEGORY,Specification Conflict Density,Document-Derived Condition Signals,yes
MODULE -> CATEGORY,Spherical Fuzzy Sets,Evidence Combination,yes
MODULE -> CATEGORY,Subcontractor Performance,Document-Derived Condition Signals,yes
MODULE -> CATEGORY,Submittal Rejection Rate,Document-Derived Condition Signals,yes
MODULE -> CATEGORY,TCPI,Cost and EVM Performance,yes
MODULE -> CATEGORY,Tornado Risk Ranking,System Dynamics and Complexity,yes
MODULE -> CATEGORY,Type-2 Fuzzy Sets,Evidence Combination,yes
MODULE -> CATEGORY,Variance at Completion,Cost and EVM Performance,yes
MODULE -> CATEGORY,Weather Day Impact,Document-Derived Condition Signals,yes
MODULE -> CATEGORY,Weighted Voting,Signal Synthesis,yes
MODULE -> CATEGORY,What-If Scenario Matrix,Decision Optimization,yes
MODULE -> CATEGORY,Worst-N-of-M,Signal Synthesis,yes
MODULE -> CATEGORY,Z-numbers,Evidence Combination,yes
